trial_num,left_pwm,right_pwm,sim_time_start,model_pos_x_start,model_pos_y_start,theta_start,sim_time_final,model_pos_x_final,model_pos_y_final,theta_final
236,0,180,363801,160.57535,460.0147705,148.6872893,365023,306.2981,378.43927,158.3908199
237,83,85,365579,160.57535,460.0147705,148.6872893,366763,306.2981,378.43927,158.3908199
238,180,101,367331,160.57535,460.0147705,148.6872893,368520,306.2981,378.43927,158.3908199
239,83,90,369078,160.57535,460.0147705,148.6872893,370234,389.32022,384.2896118,-122.6339883
240,180,90,370823,160.57535,460.0147705,148.6872893,371983,389.32022,384.2896118,-122.6339883
241,90,101,372511,307.00955,369.4258423,155.2017271,373737,389.32022,384.2896118,-122.6339883
242,90,85,374330,338.50836,318.4932251,88.49970996,375580,307.21707,369.7146606,154.2633157
243,90,90,376176,338.50836,318.4932251,88.49970996,377324,307.00955,369.4258423,154.2062268
244,160,15,377956,338.50836,318.4932251,88.49970996,379142,307.00955,369.4258423,154.2062268
245,0,180,379709,165.12169,457.161438,143.7671155,380931,304.06604,356.3800659,153.2945425
246,83,85,381520,165.12169,457.161438,143.7671155,382675,304.06604,356.3800659,153.2945425
247,180,101,383234,324.6074,363.3566895,-69.26327225,384495,304.06604,356.3800659,153.2945425
248,83,90,385052,301.81665,353.52771,153.3857373,386273,386.1056,366.3499146,-124.1213273
249,180,90,386864,384.91785,365.8150635,-124.1635131,388124,386.1056,366.3499146,-124.1213273
250,90,101,388681,302.06458,352.6533813,153.9822796,389934,336.28052,302.4608765,89.96145405
251,90,85,390527,335.93668,302.4952393,89.37650861,391785,302.13602,353.3528442,154.3816484
252,90,90,392413,335.93668,302.4952393,89.37650861,393603,301.95038,353.1169434,154.409337
253,160,15,394219,335.93668,302.4952393,89.37650861,395417,156.14032,439.9884644,146.2492665
254,0,180,396007,157.6529,439.6412964,147.1861281,397225,301.357,347.4400024,154.0664418
255,83,85,397820,301.6142,347.211731,154.3533377,399014,321.3325,353.2578735,-67.93459898
256,180,101,399605,301.6142,347.211731,154.3533377,400819,300.35434,342.2907104,153.4329545
257,83,90,401448,300.07568,344.1393433,153.399572,402671,383.3264,357.4387207,-123.7380506
258,180,90,403262,384.4099,355.5648193,-123.7713244,404525,300.35434,342.2907104,154.431499
259,90,101,405109,298.85092,342.5761719,153.68086,406369,331.47546,292.116394,90.10924416
260,90,85,406999,298.85092,342.5761719,153.68086,408182,299.27933,342.5219727,154.1837197
261,90,90,408779,298.82983,343.6170044,154.4268977,410035,299.1839,342.4621582,155.1359244
262,160,15,410662,299.30743,342.6372681,154.396784,411916,299.1839,342.4621582,155.1359244
263,0,180,412473,153.02068,429.9534912,149.0895975,413730,300.35434,342.2907104,156.4049817
264,83,85,414323,153.02068,429.9534912,149.0895975,415479,317.84964,349.9052124,-64.5770162
265,180,101,416070,319.00974,350.3720093,-65.31147301,417323,297.58572,339.3341064,156.7564621
266,83,90,417948,299.48273,339.5775757,156.4903073,419177,381.0849,354.0158691,-120.8684394
