num_trial,sim_time,left_pwm,right_pwm,model_pos_x,model_pos_y,theta
52,69.383,180,90,375.0811,605.833313,110.9283875
52,69.482,180,90,371.66867,621.0582886,93.51508142
52,69.582,180,90,371.58176,630.5526123,85.29760985
52,69.686,180,90,371.58176,630.5526123,85.29760985
52,69.747,180,90,377.04706,651.2064819,63.08192987
52,69.843,180,90,383.1449,661.2956543,53.52793711
53,70.504,83,90,414.27103,683.5309448,16.23783415
53,70.637,83,90,409.11984,680.3380737,21.74961137
53,70.736,83,90,395.84116,672.4246826,36.84521139
53,70.839,83,90,385.45062,663.9536133,49.09591835
53,70.965,83,90,375.64658,649.6220093,65.44713989
53,71.066,83,90,372.04953,634.2572632,82.18240452
53,71.167,83,90,371.9768,622.2875366,91.98403299
53,71.297,83,90,373.19742,606.8827515,108.6303797
53,71.395,83,90,380.30252,591.1943359,125.8174787
53,71.499,83,90,387.31744,581.8156738,139.4586097
53,71.598,83,90,397.49115,574.5322266,149.4911857
54,72.256,180,90,431.61105,562.9395142,-173.6927835
54,72.39,180,90,429.1855,562.5941772,178.698739
54,72.487,180,90,412.29538,566.1726074,167.7560828
54,72.587,180,90,402.61142,570.869812,157.4955932
54,72.711,180,90,389.05118,578.3695068,141.0104093
54,72.81,180,90,377.5038,592.7774658,123.5513528
54,72.917,180,90,373.22507,603.7489014,113.010265
54,73.044,180,90,370.52902,619.1097412,98.0863564
54,73.176,180,90,371.53815,635.315918,80.73640624
54,73.253,180,90,371.53815,635.315918,80.73640624
54,73.347,180,90,377.34326,654.0330811,59.6700203
55,73.978,83,90,403.83487,679.8880005,22.94456522
55,74.073,83,90,403.83487,679.8880005,24.68507816
55,74.169,83,90,395.33194,673.5161743,32.72932514
55,74.298,83,90,382.87473,662.0244751,50.23176045
55,74.4,83,90,374.2077,649.7910767,66.15349138
55,74.511,83,90,370.11432,636.9216309,77.28683215
55,74.635,83,90,370.73892,623.1836548,94.22845968
55,74.73,83,90,371.4911,605.8551025,111.0288885
55,74.827,83,90,377.49164,594.3353882,122.0405161
55,74.937,83,90,383.3815,584.5578613,132.9563072
55,75.035,83,90,396.01312,572.1296387,150.5542823
55,75.128,83,90,405.38315,567.7686768,162.8905693
55,75.256,83,90,420.5758,563.0330811,176.4507475
56,75.884,180,90,456.80817,568.4606323,-149.8811711
56,75.978,180,90,456.8514,569.3950195,-152.355933
56,76.086,180,90,444.02808,564.3666382,-161.3207777
56,76.204,180,90,428.85306,562.9628906,-174.4420796
56,76.308,180,90,412.6265,564.2843628,168.4780584
56,76.412,180,90,400.90396,569.8665771,159.2298259
56,76.517,180,90,392.9057,574.0375366,148.4373116
56,76.609,180,90,381.7379,584.9666748,131.3166773
56,76.711,180,90,375.48978,594.5593262,120.5536854
56,76.835,180,90,368.96887,610.0637817,105.8218891
56,76.935,180,90,367.40817,625.8450317,88.36881438
56,77.039,180,90,369.04163,634.991394,78.0067576
56,77.165,180,90,374.54086,650.866272,62.6927595
57,77.833,83,90,398.16092,676.7177734,28.15642264
57,77.968,83,90,397.063,676.3170166,29.83301023
57,78.064,83,90,384.02374,665.5818481,46.90592529
57,78.168,83,90,376.6436,658.1450806,57.61948256
57,78.268,83,90,371.43604,646.4723511,68.16679485
57,78.358,83,90,367.3599,630.5983276,84.52197593
57,78.465,83,90,367.47238,619.5239868,96.5431404
57,78.592,83,90,370.42883,603.7765503,112.0358888
57,78.694,83,90,379.39697,587.0762329,128.549013
57,78.796,83,90,385.94604,578.7331543,142.7578354
57,78.913,83,90,398.46243,569.3667603,158.2537067
57,79.057,83,90,415.055,563.079895,173.2591231
57,79.147,83,90,431.2643,563.4633179,-170.7106133
58,79.84,180,90,464.80722,573.4009399,-140.8320936
58,79.943,180,90,463.75705,573.0003662,-144.7873137
58,80.043,180,90,450.93243,565.8408813,-153.370833
58,80.171,180,90,434.35956,561.3844604,-168.3875446
58,80.27,180,90,418.2175,563.5874634,177.1864629
58,80.378,180,90,407.8193,566.7318726,167.6076003
58,80.505,180,90,393.24817,570.6170654,151.6328738
58,80.637,180,90,382.2057,582.3980103,133.9993139
58,80.737,180,90,372.14957,595.5509033,117.8487947
58,80.841,180,90,367.60022,606.9387207,107.2881783
58,80.962,180,90,366.28403,622.3111572,92.88084311
58,81.044,180,90,366.28403,622.3111572,92.88084311
58,81.129,180,90,370.05386,643.2946777,71.35758135
59,81.834,83,90,389.91757,670.0089111,36.67188252
59,81.925,83,90,389.6697,670.3534546,36.63609296
59,82.022,83,90,381.19925,664.0046387,47.47938466
59,82.122,83,90,375.84183,655.6715088,57.43434812
59,82.223,83,90,370.0387,644.8909302,67.81659938
59,82.32,83,90,365.96896,629.027832,85.44647624
59,82.421,83,90,366.08508,617.9612427,96.47893167
59,82.546,83,90,369.0459,602.2249756,111.757305
59,82.648,83,90,377.55246,586.557373,128.6143348
59,82.756,83,90,383.49664,578.425415,141.6766635
59,82.883,83,90,397.07825,569.3787842,158.2571425
59,82.986,83,90,413.67444,563.0915527,174.1021445
