trial_num,sim_time,left_pwm,right_pwm,model_pos_x,model_pos_y,theta
123,137.312,180,101,442.0999,463.15545654296875,45.9279315314632
123,137.335,180,101,441.76364,462.8131103515625,44.932709440344595
123,137.372,180,101,441.5136,463.77947998046875,44.94574266963611
123,137.408,180,101,441.47342,462.3369140625,45.43256168042542
123,137.474,180,101,442.0999,463.15545654296875,45.46880203288256
123,137.508,180,101,442.88785,463.6990966796875,36.6724238540052
124,138.097,83,85,453.9233,464.49884033203125,-4.040585776267217
124,138.131,83,85,454.30423,466.27764892578125,-5.4698190881423665
124,138.166,83,85,454.2606,464.83282470703125,-4.762881468777447
124,138.2,83,85,454.5756,466.69293212890625,-5.420896643838516
124,138.267,83,85,454.5756,466.69293212890625,-3.3512589266971458
125,138.823,180,101,444.88776,464.4366455078125,49.521243860635224
125,138.888,180,101,444.5513,464.09552001953125,49.519404835553665
125,138.924,180,101,443.51443,464.5181884765625,48.44320151491222
125,138.96,180,101,444.59872,463.95965576171875,49.51310594232752
125,138.994,180,101,443.1581,464.1064453125,44.96444079755595
125,139.061,180,101,444.59872,463.95965576171875,36.65749439941446
125,139.096,180,101,447.052,464.90106201171875,27.016849987641745
126,139.678,83,85,459.7117,463.062744140625,-23.338027461371972
126,139.711,83,85,459.37415,462.734375,-23.285369500352118
126,139.747,83,85,459.37415,462.734375,-23.285369500352118
126,139.782,83,85,459.99014,463.54010009765625,-22.948400464425532
126,139.852,83,85,459.37415,462.734375,-21.380221960107402
126,139.886,83,85,458.66318,465.06597900390625,-15.197232706710773
126,139.92,83,85,456.9433,464.75616455078125,-6.122436268306289
126,139.955,83,85,455.63477,464.751220703125,2.258389128285994
127,140.539,180,101,448.6552,463.7894287109375,53.627770661470926
127,140.588,180,101,448.72125,463.7149658203125,53.629272221960754
127,140.646,180,101,448.34213,461.93511962890625,54.02771551048639
127,140.678,180,101,447.63425,464.27362060546875,53.06541771264656
127,140.713,180,101,447.34714,463.7965087890625,50.15926288071513
127,140.747,180,101,447.34714,463.7965087890625,50.15926288071513
127,140.812,180,101,447.34714,463.7965087890625,50.15926288071513
127,140.846,180,101,453.96698,465.94256591796875,24.345803937241314
127,140.87,180,101,455.99423,468.057373046875,15.873756481946488
127,140.935,180,101,457.27045,466.67803955078125,8.194013763175386
128,141.5,83,85,464.62006,462.80224609375,-37.83332926519414
128,141.533,83,85,466.5148,462.8099365234375,-39.31771804425562
128,141.603,83,85,466.5148,462.8099365234375,-39.31771804425562
128,141.637,83,85,466.5148,462.8099365234375,-39.31771804425562
128,141.673,83,85,465.14252,462.8902587890625,-35.2578063781307
128,141.729,83,85,463.49435,462.4932861328125,-27.652878155754046
128,141.763,83,85,464.13745,466.28155517578125,-20.45663909924832
128,141.797,83,85,462.5504,465.787841796875,-11.19703913498376
128,141.832,83,85,461.15643,467.40478515625,-2.5893796900157597
128,141.899,83,85,461.15643,467.40478515625,-2.5893796900157597
129,142.464,180,101,451.38687,463.6597900390625,58.72710738426095
129,142.486,180,101,451.5121,464.99603271484375,58.381132149585206
129,142.556,180,101,451.17496,464.65972900390625,58.9916605365886
129,142.588,180,101,451.17496,464.65972900390625,58.9916605365886
129,142.624,180,101,451.75345,464.029052734375,56.78286503145201
129,142.691,180,101,451.7972,465.47369384765625,50.601523955839525
129,142.726,180,101,453.2147,466.8375244140625,42.30110472112498
129,142.761,180,101,453.2147,466.8375244140625,42.30110472112498
129,142.785,180,101,458.4724,467.4781494140625,23.333176117838534
129,142.852,180,101,460.17435,469.32208251953125,15.158998524792263
129,142.886,180,101,461.50195,467.79376220703125,7.409125831368081
129,142.922,180,101,463.63336,466.8233642578125,-0.5221037843348085
129,142.959,180,101,465.2986,465.62457275390625,-10.4988903134089
130,143.544,83,85,471.97397,459.4451904296875,-55.03756346267793
130,143.58,83,85,472.24203,459.9217529296875,-55.493707838350524
130,143.649,83,85,471.72644,459.8306884765625,-56.34947429968049
130,143.686,83,85,471.72644,459.8306884765625,-56.34947429968049
130,143.718,83,85,471.97397,459.4451904296875,-53.61751574394679
130,143.742,83,85,473.0083,459.048828125,-44.662874558616416
130,143.805,83,85,471.68466,460.5697021484375,-36.52006225497402
130,143.838,83,85,471.68466,460.5697021484375,-36.52006225497402
130,143.88,83,85,469.87006,463.39971923828125,-20.309465377898288
130,143.919,83,85,470.25278,463.768798828125,-11.843662238438627
131,145.141,180,101,455.4245,459.963623046875,64.38254825374177
131,145.165,180,101,455.3935,459.0711669921875,64.32445745369537
131,145.189,180,101,455.40027,459.12713623046875,64.31850135074286
131,145.21,180,101,457.1092,459.3746337890625,65.5901315567296
131,145.238,180,101,456.49396,458.5714111328125,65.58875217201008
131,145.262,180,101,456.77182,459.04693603515625,65.5806277811917
132,147.151,83,85,477.47272,452.3984375,-70.24729321062796
132,147.174,83,85,477.47272,452.3984375,-69.33141915653546
132,147.211,83,85,477.74738,452.83966064453125,-69.31212930685862
132,147.245,83,85,477.47272,452.3984375,-69.33141915653546
132,147.31,83,85,476.87473,451.617919921875,-69.26293692153048
132,147.344,83,85,477.135,452.09161376953125,-69.31359075743295
132,147.379,83,85,476.92462,453.05438232421875,-65.55359043039928
132,147.412,83,85,477.84863,455.7152099609375,-59.03882036255143
132,147.478,83,85,475.74384,456.70416259765625,-50.43970694430539
132,147.513,83,85,476.30505,458.23651123046875,-40.54240572679438
132,147.548,83,85,474.59677,458.0047607421875,-30.424441109324636
132,147.582,83,85,474.59677,458.0047607421875,-30.424441109324636
132,147.648,83,85,473.61325,459.8404541015625,-14.08914809594344
132,147.682,83,85,472.29578,461.31890869140625,-4.775916960736946
132,147.705,83,85,470.85593,461.55853271484375,5.458620302869673
132,147.739,83,85,470.85593,461.55853271484375,5.458620302869673
133,148.337,180,101,461.9376,456.8111572265625,72.82196107760358
133,148.371,180,101,460.9035,457.21435546875,71.5137722029898
133,148.441,180,101,460.9035,457.21435546875,71.5137722029898
133,148.468,180,101,461.9376,456.8111572265625,72.82196107760358
133,148.504,180,101,461.9376,456.8111572265625,72.82196107760358
133,148.538,180,101,460.56567,456.89129638671875,69.73650902905393
